Unnamed: 0,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter,league
0.6924549980850249,1423,4,0.5599999999999999,0.558139534883721,312,664,0.022086400889012363,0.03487935991999,3,0.05102040816326531,2,81,2,404,80,1,5
0.6928379931060896,1424,4,0.7200000000000001,0.4651162790697674,313,951,0.016530073621336298,0.08738592324040505,3,0.19387755102040813,2,81,5,336,211,14,5
0.6932209881271544,1425,801,0.44000000000000006,0.5116279069767442,3,952,0.06653701903042089,0.14989373671708964,6,0.07142857142857142,2,81,8,19,432,1,5
0.693603983148219,1426,802,0.44000000000000006,0.2790697674418601,3,953,0.04986803722739269,0.08488561070133767,6,0.2040816326530612,2,81,5,405,202,1,5
0.6947529682114132,1427,803,0.19999999999999996,0.2790697674418601,3,954,0.06653701903042089,0.14989373671708964,10,0.24489795918367346,1,81,2,93,187,1,5
0.695135963232478,1428,804,0.7200000000000001,0.09302325581395321,57,4,0.016530073621336298,0.08988623577947243,10,0.2346938775510204,2,81,5,406,295,3,5
0.6955189582535427,1429,4,0.5199999999999999,0.23255813953488325,314,955,0.055424364495068754,0.14989373671708964,7,0.08163265306122448,3,81,1,407,460,1,5
0.6959019532746075,1430,805,0.5599999999999999,0.4883720930232558,4,956,0.055424364495068754,0.14989373671708964,7,0.16326530612244897,1,81,5,387,141,3,5
0.6966679433167369,1431,4,0.31999999999999995,0.6744186046511622,315,957,0.08320600083344909,0.19989998749843732,8,0.14285714285714282,1,81,1,408,461,1,5
0.6970509383378016,1432,806,0.31999999999999995,0.6511627906976738,3,958,0.055424364495068754,0.0798849856232029,8,0.11224489795918367,2,81,8,118,14,1,5
0.6974339333588663,1433,807,0.7200000000000001,0.5813953488372086,57,959,0.016530073621336298,0.04488061007625953,1,0.0,2,82,1,192,2,1,5
0.697816928379931,1434,808,0.31999999999999995,0.5348837209302326,3,960,0.006528684539519377,0.012376547068383549,1,0.12244897959183672,2,82,2,19,80,1,5
0.6981999234009958,1435,4,0.4,0.3255813953488369,65,961,0.04431170995971662,0.039879984998124764,4,0.14285714285714282,2,82,3,79,2,1,5
0.6985829184220606,1436,809,0.36,0.5348837209302326,3,924,0.03319905542436449,0.09988748593574197,4,0.030612244897959183,2,82,2,132,432,1,5
0.6989659134431252,1437,810,0.2799999999999999,0.4883720930232558,3,962,0.016530073621336298,0.07488436054506813,4,0.020408163265306124,2,82,3,289,462,2,5
0.69934890846419,1438,811,0.19999999999999996,0.558139534883721,3,26,0.005417419085984164,0.00737592199024878,4,0.13265306122448978,1,83,3,23,123,1,2
0.6997319034852547,1439,812,0.44000000000000006,0.20930232558139528,3,963,0.06653701903042089,0.05988248531066383,2,0.16326530612244897,1,82,3,158,202,1,5
0.7001148985063194,1440,813,0.5599999999999999,0.25581395348837166,3,964,0.01930823725517433,0.07488436054506813,5,0.01020408163265306,2,82,2,223,29,1,5
0.7004978935273841,1441,814,0.5199999999999999,0.2790697674418601,3,965,0.005417419085984164,0.009876234529316165,5,0.19387755102040813,2,82,2,40,20,3,5
0.7008808885484489,1442,815,0.4,0.5116279069767442,316,966,0.04153354632587859,0.09988748593574197,3,0.13265306122448978,2,82,5,253,463,1,5
